,Code plate-forme,Code gare,Code UIC,Date fin validité plateforme,Intitulé plateforme,Code postal,Code Commune,Commune,Code département,Département,Longitude,Latitude,Segment DRG,Niveau de service,RG,TVSs,SOPs,Gare,Intitulé gare,Intitulé fronton de gare,Gare DRG,Gare étrangère,DTG,Région SNCF,Unité gare,UT,Nbre plateformes,TVS,WGS 84,Verification TGV
1972,00164-1,164,87762906,,Lyon Saint-Exupéry TGV,69125.0,299.0,Colombier-Saugnieu,69.0,Rhône,5.074969,45.721109,a,2.0,GARE LYON ST EXUPERY TGV,"""[{""""TVS_Code"""": """"SXA""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Lyon Saint-Exupéry TGV"""", """"Alias_Libelle_Fronton"""": """"Lyon Saint-Exupéry TGV"""", """"AgenceGC_Libelle"""": """"DRG AURA-BFC"""", """"RegionSNCF_Libelle"""": """"REGION RHONE-ALPES"""", """"UG_Libelle"""": """"UG Lyon Vallée du Rhône"""", """"UT_Libelle"""": """"LYON ST EXUPERY TGV GARE""""}""",Lyon Saint-Exupéry TGV,Lyon Saint-Exupéry TGV,True,False,DRG AURA-BFC,REGION RHONE-ALPES,UG Lyon Vallée du Rhône,LYON ST EXUPERY TGV GARE,1,SXA,"45.721109, 5.074969",intitulé plateforme
393,02071-1,2071,87381509,,Mantes-la-Jolie,78200.0,361.0,Mantes-la-Jolie,78.0,Yvelines,1.70337,48.98984,b,,GARES B IDF LIGNE J,"""[{""""TVS_Code"""": """"MTE""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Mantes-la-Jolie"""", """"Alias_Libelle_Fronton"""": """"Mantes-la-Jolie"""", """"AgenceGC_Libelle"""": """"DGIF"""", """"RegionSNCF_Libelle"""": """"REGION DE PARIS SAINT-LAZARE"""", """"UG_Libelle"""": null, """"UT_Libelle"""": """"MANTES LA JOLIE GARE""""}""",Mantes-la-Jolie,Mantes-la-Jolie,True,False,DGIF,REGION DE PARIS SAINT-LAZARE,,MANTES LA JOLIE GARE,1,MTE,"48.98984, 1.70337",wikipedia
1917,03072-1,3072,87111849,,Marne-la-Vallée Chessy,77111.0,111.0,Chessy,77.0,Seine-et-Marne,2.78272,48.869856,a,3.0,GARE CHESSY MARNE LA VALLEE,"""[{""""TVS_Code"""": """"MLV""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Marne-la-Vallée Chessy"""", """"Alias_Libelle_Fronton"""": """"Marne-la-Vallée Chessy"""", """"AgenceGC_Libelle"""": """"ETAB GARES PARIS"""", """"RegionSNCF_Libelle"""": """"REGION DE PARIS-SUD-EST"""", """"UG_Libelle"""": """"UG Paris-Est"""", """"UT_Libelle"""": """"MARNE LA VALLEE CHESSY P GARE TGV""""}""",Marne-la-Vallée Chessy,Marne-la-Vallée Chessy,True,False,ETAB GARES PARIS,REGION DE PARIS-SUD-EST,UG Paris-Est,MARNE LA VALLEE CHESSY P GARE TGV,1,MLV,"48.869856, 2.78272",horaires
1999,00300-1,300,87751008,,Marseille Saint-Charles,13232.0,55.0,Marseille,13.0,Bouches-du-Rhône,5.380407,43.302666,a,3.0,GARE MARSEILLE ST CHARLES,"""[{""""TVS_Code"""": """"MSC""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Marseille Saint-Charles"""", """"Alias_Libelle_Fronton"""": """"Marseille Saint-Charles"""", """"AgenceGC_Libelle"""": """"DRG Occitanie Sud"""", """"RegionSNCF_Libelle"""": """"REGION PROVENCE ALPES COTE D'AZUR"""", """"UG_Libelle"""": """"UG LGV PA"""", """"UT_Libelle"""": """"MARSEILLE ST CHARLES GARE""""}""",Marseille Saint-Charles,Marseille Saint-Charles,True,False,DRG Occitanie Sud,REGION PROVENCE ALPES COTE D'AZUR,UG LGV PA,MARSEILLE ST CHARLES GARE,1,MSC,"43.302666, 5.380407",horaires
1675,01954-1,1954,87393579,,Massy - Palaiseau,91300.0,377.0,Massy,91.0,Essonne,2.2575281,48.7264211,b,,GARES B IDF LIGNE C,"""[{""""TVS_Code"""": """"MPU""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Massy - Palaiseau"""", """"Alias_Libelle_Fronton"""": """"Massy - Palaiseau"""", """"AgenceGC_Libelle"""": """"DGIF"""", """"RegionSNCF_Libelle"""": """"REGION DE PARIS RIVE GAUCHE"""", """"UG_Libelle"""": null, """"UT_Libelle"""": """"MASSY PALAISEAU P GARE""""}""",Massy - Palaiseau,Massy - Palaiseau,True,False,DGIF,REGION DE PARIS RIVE GAUCHE,,MASSY PALAISEAU P GARE,1,MPU,"48.7264211, 2.2575281",wikipedia
367,01945-1,1945,87393702,,Massy TGV,91300.0,377.0,Massy,91.0,Essonne,2.261254,48.725758,a,2.0,GARE MASSY TGV,"""[{""""TVS_Code"""": """"MPW""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Massy TGV"""", """"Alias_Libelle_Fronton"""": """"Massy TGV"""", """"AgenceGC_Libelle"""": """"ETAB GARES PARIS"""", """"RegionSNCF_Libelle"""": """"REGION DE PARIS RIVE GAUCHE"""", """"UG_Libelle"""": """"UG Montparnasse"""", """"UT_Libelle"""": """"MASSY PALAISEAU P GARE""""}""",Massy TGV,Massy TGV,True,False,ETAB GARES PARIS,REGION DE PARIS RIVE GAUCHE,UG Montparnasse,MASSY PALAISEAU P GARE,1,MPW,"48.725758, 2.261254",intitulé plateforme
536,02718-1,2718,87192039,,Metz,57000.0,463.0,Metz,57.0,Moselle,6.176593,49.109545,a,3.0,GARE METZ VILLE,"""[{""""TVS_Code"""": """"MZE""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Metz"""", """"Alias_Libelle_Fronton"""": """"Metz Ville"""", """"AgenceGC_Libelle"""": """"DRG Grand Est"""", """"RegionSNCF_Libelle"""": """"REGION LORRAINE"""", """"UG_Libelle"""": """"UG Lorraine"""", """"UT_Libelle"""": """"METZ ENTRETIEN VILLE GARE""""}""",Metz,Metz Ville,True,False,DRG Grand Est,REGION LORRAINE,UG Lorraine,METZ ENTRETIEN VILLE GARE,1,MZE,"49.109545, 6.176593",horaires
1211,02909-1,2909,87147322,,Meuse TGV,55220.0,254.0,Trois-Domaines,55.0,Meuse,5.270954,48.978549,a,2.0,GARE MEUSE TGV,"""[{""""TVS_Code"""": """"TGM""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Meuse TGV"""", """"Alias_Libelle_Fronton"""": """"Meuse TGV"""", """"AgenceGC_Libelle"""": """"DRG Grand Est"""", """"RegionSNCF_Libelle"""": """"REGION LORRAINE"""", """"UG_Libelle"""": """"UG Lorraine"""", """"UT_Libelle"""": """"TROIS DOMAINES GARE DE LA MEUSE TGVEE""""}""",Meuse TGV,Meuse TGV,True,False,DRG Grand Est,REGION LORRAINE,UG Lorraine,TROIS DOMAINES GARE DE LA MEUSE TGVEE,1,TGM,"48.978549, 5.270954",intitulé plateforme
1345,00274-1,274,87753004,,Miramas,13140.0,63.0,Miramas,13.0,Bouches-du-Rhône,5.000264,43.580704,b,2.0,GARES B PROV ALPES,"""[{""""TVS_Code"""": """"MAS""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Miramas"""", """"Alias_Libelle_Fronton"""": """"Miramas"""", """"AgenceGC_Libelle"""": """"DRG Occitanie Sud"""", """"RegionSNCF_Libelle"""": """"REGION PROVENCE ALPES COTE D'AZUR"""", """"UG_Libelle"""": """"UG Régionale PA"""", """"UT_Libelle"""": """"MIRAMAS GARE""""}""",Miramas,Miramas,True,False,DRG Occitanie Sud,REGION PROVENCE ALPES COTE D'AZUR,UG Régionale PA,MIRAMAS GARE,1,MAS,"43.580704, 5.000264",wikipedia
703,00388-1,388,87742007,,Modane,73500.0,157.0,Modane,73.0,Savoie,6.658161,45.193365,b,1.0,GARES B ALPES,"""[{""""TVS_Code"""": """"MOD""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Modane"""", """"Alias_Libelle_Fronton"""": """"Modane"""", """"AgenceGC_Libelle"""": """"DRG AURA-BFC"""", """"RegionSNCF_Libelle"""": """"REGION ALPES"""", """"UG_Libelle"""": """"UG Alpes"""", """"UT_Libelle"""": """"MODANE COMMUNAUTE P GARE""""}""",Modane,Modane,True,False,DRG AURA-BFC,REGION ALPES,UG Alpes,MODANE COMMUNAUTE P GARE,1,MOD,"45.193365, 6.658161",horaires
