,Code plate-forme,Code gare,Code UIC,Date fin validité plateforme,Intitulé plateforme,Code postal,Code Commune,Commune,Code département,Département,Longitude,Latitude,Segment DRG,Niveau de service,RG,TVSs,SOPs,Gare,Intitulé gare,Intitulé fronton de gare,Gare DRG,Gare étrangère,DTG,Région SNCF,Unité gare,UT,Nbre plateformes,TVS,WGS 84,Verification TGV
2033,00501-1,501,87725705,,Mâcon Loché TGV,71000.0,270.0,Mâcon,71.0,Saône-et-Loire,4.778876,46.282884,a,2.0,GARE MACON LOCHE TGV,"""[{""""TVS_Code"""": """"MLH""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Mâcon Loché TGV"""", """"Alias_Libelle_Fronton"""": """"Mâcon Loché TGV"""", """"AgenceGC_Libelle"""": """"DRG AURA-BFC"""", """"RegionSNCF_Libelle"""": """"REGION DE PARIS-SUD-EST"""", """"UG_Libelle"""": """"UG Bourgogne"""", """"UT_Libelle"""": """"MACON LOCHE TGV GARE""""}""",Mâcon Loché TGV,Mâcon Loché TGV,True,False,DRG AURA-BFC,REGION DE PARIS-SUD-EST,UG Bourgogne,MACON LOCHE TGV GARE,1,MLH,"46.282884, 4.778876",intitulé plateforme
2553,03002-1,3002,87141002,,Nancy,54000.0,395.0,Nancy,54.0,Meurthe-et-Moselle,6.174583,48.689861,a,3.0,GARE NANCY VILLE,"""[{""""TVS_Code"""": """"NCY""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Nancy"""", """"Alias_Libelle_Fronton"""": """"Nancy"""", """"AgenceGC_Libelle"""": """"DRG Grand Est"""", """"RegionSNCF_Libelle"""": """"REGION LORRAINE"""", """"UG_Libelle"""": """"UG Lorraine"""", """"UT_Libelle"""": """"NANCY VILLE GARE""""}""",Nancy,Nancy,True,False,DRG Grand Est,REGION LORRAINE,UG Lorraine,NANCY VILLE GARE,1,NCY,"48.689861, 6.174583",horaires
1609,01634-1,1634,87481002,,Nantes,44041.0,109.0,Nantes,44.0,Loire-Atlantique,-1.542356,47.216148,a,3.0,GARE NANTES,"""[{""""TVS_Code"""": """"NTS""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Nantes"""", """"Alias_Libelle_Fronton"""": """"Nantes"""", """"AgenceGC_Libelle"""": """"DRG B-CVL-PDL"""", """"RegionSNCF_Libelle"""": """"REGION PAYS DE LA LOIRE"""", """"UG_Libelle"""": """"UG Pays de la Loire"""", """"UT_Libelle"""": """"NANTES ORLEANS GARE""""}""",Nantes,Nantes,True,False,DRG B-CVL-PDL,REGION PAYS DE LA LOIRE,UG Pays de la Loire,NANTES ORLEANS GARE,1,NTS,"47.216148, -1.542356",horaires
646,00077-1,77,87781104,,Narbonne,11100.0,262.0,Narbonne,11.0,Aude,3.00591,43.190387,a,2.0,GARE NARBONNE,"""[{""""TVS_Code"""": """"NBN""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Narbonne"""", """"Alias_Libelle_Fronton"""": """"Narbonne"""", """"AgenceGC_Libelle"""": """"DRG Occitanie Sud"""", """"RegionSNCF_Libelle"""": """"REGION LANGUEDOC-ROUSSILLON"""", """"UG_Libelle"""": """"UG Est Occitanie"""", """"UT_Libelle"""": """"NARBONNE GARE""""}""",Narbonne,Narbonne,True,False,DRG Occitanie Sud,REGION LANGUEDOC-ROUSSILLON,UG Est Occitanie,NARBONNE GARE,1,NBN,"43.190387, 3.00591",horaires
674,00232-1,232,87756056,,Nice,6008.0,88.0,Nice,6.0,Alpes-Maritimes,7.261904,43.704556,a,3.0,GARE NICE VILLE,"""[{""""TVS_Code"""": """"NIC""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Nice"""", """"Alias_Libelle_Fronton"""": """"Nice"""", """"AgenceGC_Libelle"""": """"DRG Occitanie Sud"""", """"RegionSNCF_Libelle"""": """"REGION PROVENCE ALPES COTE D'AZUR"""", """"UG_Libelle"""": """"UG Côte d'Azur"""", """"UT_Libelle"""": """"NICE VILLE GARE""""}""",Nice,Nice,True,False,DRG Occitanie Sud,REGION PROVENCE ALPES COTE D'AZUR,UG Côte d'Azur,NICE VILLE GARE,1,NIC,"43.704556, 7.261904",horaires
298,01561-1,1561,87485300,,Niort,79000.0,191.0,Niort,79.0,Deux-Sèvres,-0.454639,46.319491,a,2.0,GARE NIORT,"""[{""""TVS_Code"""": """"NRT""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Niort"""", """"Alias_Libelle_Fronton"""": """"Niort"""", """"AgenceGC_Libelle"""": """"DRG Nlle Aquitaine"""", """"RegionSNCF_Libelle"""": """"REGION POITOU-CHARENTES AQUITAINE"""", """"UG_Libelle"""": """"UG Poitou-Charentes"""", """"UT_Libelle"""": """"NIORT GARE""""}""",Niort,Niort,True,False,DRG Nlle Aquitaine,REGION POITOU-CHARENTES AQUITAINE,UG Poitou-Charentes,NIORT GARE,1,NRT,"46.319491, -0.454639",horaires
2683,00376-1,376,87743351,,Nurieux-Volognat,1760.0,267.0,Nurieux-Volognat,1.0,Ain,5.5327486,46.1842195,c,1.0,GARES C ALPES,"""[{""""TVS_Code"""": """"NEX""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Nurieux-Volognat"""", """"Alias_Libelle_Fronton"""": """"Nurieux"""", """"AgenceGC_Libelle"""": """"DRG AURA-BFC"""", """"RegionSNCF_Libelle"""": """"REGION ALPES"""", """"UG_Libelle"""": """"UG Alpes"""", """"UT_Libelle"""": """"NURIEUX GARE""""}""",Nurieux-Volognat,Nurieux,True,False,DRG AURA-BFC,REGION ALPES,UG Alpes,NURIEUX GARE,1,NEX,"46.1842195, 5.5327486",wikipedia
2627,00118-1,118,87775007,,Nîmes,30000.0,189.0,Nîmes,30.0,Gard,4.365845,43.832291,a,2.0,GARE NIMES,"""[{""""TVS_Code"""": """"NMS""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Nîmes"""", """"Alias_Libelle_Fronton"""": """"Nîmes"""", """"AgenceGC_Libelle"""": """"DRG Occitanie Sud"""", """"RegionSNCF_Libelle"""": """"REGION LANGUEDOC-ROUSSILLON"""", """"UG_Libelle"""": """"UG Est Occitanie"""", """"UT_Libelle"""": """"NIMES GARE""""}""",Nîmes,Nîmes,True,False,DRG Occitanie Sud,REGION LANGUEDOC-ROUSSILLON,UG Est Occitanie,NIMES GARE,1,NMS,"43.832291, 4.365845",horaires
1938,03228-1,3228,87703975,,Nîmes Pont du Gard,30129.0,155.0,Manduel,30.0,Gard,4.50768,43.81681,a,,GARE NIMES PONT DU GARD,"""[{""""TVS_Code"""": """"NIM""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Nîmes Pont du Gard"""", """"Alias_Libelle_Fronton"""": """"Nîmes Pont-du-Gard"""", """"AgenceGC_Libelle"""": """"DRG Occitanie Sud"""", """"RegionSNCF_Libelle"""": null, """"UG_Libelle"""": """"UG Est Occitanie"""", """"UT_Libelle"""": """"NIMES PONT DU GARD TGV CNM """"}""",Nîmes Pont du Gard,Nîmes Pont-du-Gard,True,False,DRG Occitanie Sud,,UG Est Occitanie,NIMES PONT DU GARD TGV CNM,1,NIM,"43.81681, 4.50768",horaires
656,00145-1,145,87765107,,Orange,84100.0,87.0,Orange,84.0,Vaucluse,4.819594,44.137304,b,2.0,GARES B PROV ALPES,"""[{""""TVS_Code"""": """"OGE""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Orange"""", """"Alias_Libelle_Fronton"""": """"Orange"""", """"AgenceGC_Libelle"""": """"DRG Occitanie Sud"""", """"RegionSNCF_Libelle"""": """"REGION PROVENCE ALPES COTE D'AZUR"""", """"UG_Libelle"""": """"UG Régionale PA"""", """"UT_Libelle"""": """"ORANGE GARE""""}""",Orange,Orange,True,False,DRG Occitanie Sud,REGION PROVENCE ALPES COTE D'AZUR,UG Régionale PA,ORANGE GARE,1,OGE,"44.137304, 4.819594",horaires
165,00879-1,879,87672253,,Orthez,64300.0,430.0,Orthez,64.0,Pyrénées-Atlantiques,-0.76776,43.484242,b,1.0,GARES B AQUITAINE,"""[{""""TVS_Code"""": """"ORT""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Orthez"""", """"Alias_Libelle_Fronton"""": """"Orthez"""", """"AgenceGC_Libelle"""": """"DRG Nlle Aquitaine"""", """"RegionSNCF_Libelle"""": """"REGION POITOU-CHARENTES AQUITAINE"""", """"UG_Libelle"""": """"UG Aquitaine"""", """"UT_Libelle"""": """"ORTHEZ GARE""""}""",Orthez,Orthez,True,False,DRG Nlle Aquitaine,REGION POITOU-CHARENTES AQUITAINE,UG Aquitaine,ORTHEZ GARE,1,ORT,"43.484242, -0.76776",wikipedia
1245,03070-1,3070,87113001,,Paris Est,75010.0,56.0,Paris,75.0,Paris,2.358424,48.876742,a,3.0,GARE PARIS EST,"""[{""""TVS_Code"""": """"PES""""}, {""""TVS_Code"""": """"PES_TRANS""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Paris Est"""", """"Alias_Libelle_Fronton"""": """"Paris Est"""", """"AgenceGC_Libelle"""": """"ETAB GARES PARIS"""", """"RegionSNCF_Libelle"""": """"REGION DE PARIS-EST"""", """"UG_Libelle"""": """"UG Paris-Est"""", """"UT_Libelle"""": """"PARIS EST GARE""""}""",Paris Est,Paris Est,True,False,ETAB GARES PARIS,REGION DE PARIS-EST,UG Paris-Est,PARIS EST GARE,1,PES,"48.876742, 2.358424",horaires
1439,00753-1,753,87686006,,Paris Gare de Lyon Hall 1 & 2,75012.0,56.0,Paris,75.0,Paris,2.37352,48.844888,a,3.0,GARE PARIS GARE DE LYON,"""[{""""TVS_Code"""": """"PLY""""}, {""""TVS_Code"""": """"PLY_TRANS""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 2, """"Alias_Libelle_NonContraint"""": """"Paris Gare de Lyon"""", """"Alias_Libelle_Fronton"""": """"Paris Gare de Lyon"""", """"AgenceGC_Libelle"""": """"ETAB GARES PARIS"""", """"RegionSNCF_Libelle"""": """"REGION DE PARIS-SUD-EST"""", """"UG_Libelle"""": """"UG Paris Lyon et Paris Bercy"""", """"UT_Libelle"""": """"PARIS LYON GARE""""}""",Paris Gare de Lyon,Paris Gare de Lyon,True,False,ETAB GARES PARIS,REGION DE PARIS-SUD-EST,UG Paris Lyon et Paris Bercy,PARIS LYON GARE,2,PLY,"48.844888, 2.37352",horaires
2357,01999-1,1999,87391003,,Paris Montparnasse Hall 1 & 2,75015.0,56.0,Paris,75.0,Paris,2.320514,48.841172,a,3.0,GARE PARIS MONTPARNASSE,"""[{""""TVS_Code"""": """"PMP""""}, {""""TVS_Code"""": """"PMP_TRANS""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 2, """"Alias_Libelle_NonContraint"""": """"Paris Montparnasse"""", """"Alias_Libelle_Fronton"""": """"Paris Montparnasse"""", """"AgenceGC_Libelle"""": """"ETAB GARES PARIS"""", """"RegionSNCF_Libelle"""": """"REGION DE PARIS RIVE GAUCHE"""", """"UG_Libelle"""": """"UG Montparnasse"""", """"UT_Libelle"""": """"PARIS MONTPARNASSE PORTE OCEANE P GARE""""}""",Paris Montparnasse,Paris Montparnasse,True,False,ETAB GARES PARIS,REGION DE PARIS RIVE GAUCHE,UG Montparnasse,PARIS MONTPARNASSE PORTE OCEANE P GARE,2,PMP,"48.841172, 2.320514",horaires
166,00884-1,884,87672006,,Pau,64000.0,445.0,Pau,64.0,Pyrénées-Atlantiques,-0.369626,43.291762,a,2.0,GARE PAU,"""[{""""TVS_Code"""": """"PAU""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Pau"""", """"Alias_Libelle_Fronton"""": """"Pau"""", """"AgenceGC_Libelle"""": """"DRG Nlle Aquitaine"""", """"RegionSNCF_Libelle"""": """"REGION POITOU-CHARENTES AQUITAINE"""", """"UG_Libelle"""": """"UG Aquitaine"""", """"UT_Libelle"""": """"PAU P GARE""""}""",Pau,Pau,True,False,DRG Nlle Aquitaine,REGION POITOU-CHARENTES AQUITAINE,UG Aquitaine,PAU P GARE,1,PAU,"43.291762, -0.369626",wikipedia
1291,00041-1,41,87784009,,Perpignan,66027.0,136.0,Perpignan,66.0,Pyrénées-Orientales,2.879779,42.696292,a,2.0,GARE PERPIGNAN,"""[{""""TVS_Code"""": """"PPN""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Perpignan"""", """"Alias_Libelle_Fronton"""": """"Perpignan"""", """"AgenceGC_Libelle"""": """"DRG Occitanie Sud"""", """"RegionSNCF_Libelle"""": """"REGION LANGUEDOC-ROUSSILLON"""", """"UG_Libelle"""": """"UG Est Occitanie"""", """"UT_Libelle"""": """"PERPIGNAN GARE""""}""",Perpignan,Perpignan,True,False,DRG Occitanie Sud,REGION LANGUEDOC-ROUSSILLON,UG Est Occitanie,PERPIGNAN GARE,1,PPN,"42.696292, 2.879779",horaires
2301,01725-1,1725,87473181,,Plouaret Trégor,22420.0,207.0,Plouaret,22.0,Côtes-d'Armor,-3.4668231,48.6062816,c,1.0,GARES C BRETAGNE,"""[{""""TVS_Code"""": """"PLT""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Plouaret Trégor"""", """"Alias_Libelle_Fronton"""": """"Plouaret Trégor"""", """"AgenceGC_Libelle"""": """"DRG B-CVL-PDL"""", """"RegionSNCF_Libelle"""": """"REGION BRETAGNE"""", """"UG_Libelle"""": """"UG Bretagne"""", """"UT_Libelle"""": """"PLOUARET GARE""""}""",Plouaret Trégor,Plouaret Trégor,True,False,DRG B-CVL-PDL,REGION BRETAGNE,UG Bretagne,PLOUARET GARE,1,PLT,"48.6062816, -3.4668231",wikipedia
901,01367-1,1367,87575001,,Poitiers,86000.0,194.0,Poitiers,86.0,Vienne,0.333241,46.582275,a,2.0,GARE POITIERS,"""[{""""TVS_Code"""": """"PST""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Poitiers"""", """"Alias_Libelle_Fronton"""": """"Poitiers"""", """"AgenceGC_Libelle"""": """"DRG Nlle Aquitaine"""", """"RegionSNCF_Libelle"""": """"REGION POITOU-CHARENTES AQUITAINE"""", """"UG_Libelle"""": """"UG Poitou-Charentes"""", """"UT_Libelle"""": """"POITIERS GARE""""}""",Poitiers,Poitiers,True,False,DRG Nlle Aquitaine,REGION POITOU-CHARENTES AQUITAINE,UG Poitou-Charentes,POITIERS GARE,1,PST,"46.582275, 0.333241",horaires
2276,01596-1,1596,87481747,,Pornichet,44380.0,132.0,Pornichet,44.0,Loire-Atlantique,-2.3445765,47.2705354,b,1.0,GARES B PAYS DE LA LOIRE,"""[{""""TVS_Code"""": """"PNI""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Pornichet"""", """"Alias_Libelle_Fronton"""": """"Pornichet"""", """"AgenceGC_Libelle"""": """"DRG B-CVL-PDL"""", """"RegionSNCF_Libelle"""": """"REGION PAYS DE LA LOIRE"""", """"UG_Libelle"""": """"UG Pays de la Loire"""", """"UT_Libelle"""": """"PORNICHET GARE""""}""",Pornichet,Pornichet,True,False,DRG B-CVL-PDL,REGION PAYS DE LA LOIRE,UG Pays de la Loire,PORNICHET GARE,1,PNI,"47.2705354, -2.3445765",wikipedia
2923,01698-1,1698,87474098,,Quimper,29000.0,232.0,Quimper,29.0,Finistère,-4.092103,47.994455,a,2.0,GARE QUIMPER,"""[{""""TVS_Code"""": """"QPR""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Quimper"""", """"Alias_Libelle_Fronton"""": """"Quimper"""", """"AgenceGC_Libelle"""": """"DRG B-CVL-PDL"""", """"RegionSNCF_Libelle"""": """"REGION BRETAGNE"""", """"UG_Libelle"""": """"UG Bretagne"""", """"UT_Libelle"""": """"QUIMPER GARE""""}""",Quimper,Quimper,True,False,DRG B-CVL-PDL,REGION BRETAGNE,UG Bretagne,QUIMPER GARE,1,QPR,"47.994455, -4.092103",horaires
974,01674-1,1674,87476317,,Quimperlé,29300.0,233.0,Quimperlé,29.0,Finistère,-3.552693,47.869375,b,1.0,GARES B BRETAGNE,"""[{""""TVS_Code"""": """"QPL""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Quimperlé"""", """"Alias_Libelle_Fronton"""": """"Quimperlé"""", """"AgenceGC_Libelle"""": """"DRG B-CVL-PDL"""", """"RegionSNCF_Libelle"""": """"REGION BRETAGNE"""", """"UG_Libelle"""": """"UG Bretagne"""", """"UT_Libelle"""": """"QUIMPERLE GARE""""}""",Quimperlé,Quimperlé,True,False,DRG B-CVL-PDL,REGION BRETAGNE,UG Bretagne,QUIMPERLE GARE,1,QPL,"47.869375, -3.552693",horaires
3016,02238-1,2238,87317057,,Rang-du-Fliers - Verton - Berck,62180.0,688.0,Rang-du-Fliers,62.0,Pas-de-Calais,1.64805,50.41579,b,2.0,GARES B NORD PAS DE CALAIS,"""[{""""TVS_Code"""": """"RDF""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Rang-du-Fliers - Verton - Berck"""", """"Alias_Libelle_Fronton"""": """"Rang-du-Fliers - Verton - Berck"""", """"AgenceGC_Libelle"""": """"DRG HDF-Normandie"""", """"RegionSNCF_Libelle"""": """"REGION NORD PAS DE CALAIS"""", """"UG_Libelle"""": """"UG Nord Pas de Calais"""", """"UT_Libelle"""": """"RANG DU FLIERS VERTON P GARE""""}""",Rang-du-Fliers - Verton - Berck,Rang-du-Fliers - Verton - Berck,True,False,DRG HDF-Normandie,REGION NORD PAS DE CALAIS,UG Nord Pas de Calais,RANG DU FLIERS VERTON P GARE,1,RDF,"50.41579, 1.64805",wikipedia
1634,01754-1,1754,87471300,,Redon,35600.0,236.0,Redon,35.0,Ille-et-Vilaine,-2.08777,47.652004,b,2.0,GARES B BRETAGNE,"""[{""""TVS_Code"""": """"RDN""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Redon"""", """"Alias_Libelle_Fronton"""": """"Redon"""", """"AgenceGC_Libelle"""": """"DRG B-CVL-PDL"""", """"RegionSNCF_Libelle"""": """"REGION BRETAGNE"""", """"UG_Libelle"""": """"UG Bretagne"""", """"UT_Libelle"""": """"REDON GARE""""}""",Redon,Redon,True,False,DRG B-CVL-PDL,REGION BRETAGNE,UG Bretagne,REDON GARE,1,RDN,"47.652004, -2.08777",horaires
1210,02905-1,2905,87171009,,Reims,51100.0,454.0,Reims,51.0,Marne,4.024435,49.258978,a,2.0,GARE REIMS,"""[{""""TVS_Code"""": """"RMS""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Reims"""", """"Alias_Libelle_Fronton"""": """"Reims"""", """"AgenceGC_Libelle"""": """"DRG Grand Est"""", """"RegionSNCF_Libelle"""": """"REGION CHAMPAGNE-ARDENNE"""", """"UG_Libelle"""": """"UG Champagne"""", """"UT_Libelle"""": """"REIMS GARE""""}""",Reims,Reims,True,False,DRG Grand Est,REGION CHAMPAGNE-ARDENNE,UG Champagne,REIMS GARE,1,RMS,"49.258978, 4.024435",horaires
1213,02915-1,2915,87144451,,Remiremont,88200.0,383.0,Remiremont,88.0,Vosges,6.598855,48.016363,b,2.0,GARES B LORRAINE,"""[{""""TVS_Code"""": """"RMT""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Remiremont"""", """"Alias_Libelle_Fronton"""": """"Remiremont"""", """"AgenceGC_Libelle"""": """"DRG Grand Est"""", """"RegionSNCF_Libelle"""": """"REGION LORRAINE"""", """"UG_Libelle"""": """"UG Lorraine"""", """"UT_Libelle"""": """"REMIREMONT P GARE""""}""",Remiremont,Remiremont,True,False,DRG Grand Est,REGION LORRAINE,UG Lorraine,REMIREMONT P GARE,1,RMT,"48.016363, 6.598855",wikipedia
995,01772-1,1772,87471003,,Rennes,35005.0,238.0,Rennes,35.0,Ille-et-Vilaine,-1.672744,48.103517,a,3.0,GARE RENNES,"""[{""""TVS_Code"""": """"RES""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Rennes"""", """"Alias_Libelle_Fronton"""": """"Rennes"""", """"AgenceGC_Libelle"""": """"DRG B-CVL-PDL"""", """"RegionSNCF_Libelle"""": """"REGION BRETAGNE"""", """"UG_Libelle"""": """"UG Bretagne"""", """"UT_Libelle"""": """"RENNES P GARE""""}""",Rennes,Rennes,True,False,DRG B-CVL-PDL,REGION BRETAGNE,UG Bretagne,RENNES P GARE,1,RES,"48.103517, -1.672744",horaires
1868,02853-1,2853,87172270,,Rethel,8300.0,362.0,Rethel,8.0,Ardennes,4.369566,49.504393,b,1.0,GARES B CHAMPAGNE ARDENNE,"""[{""""TVS_Code"""": """"RTL""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Rethel"""", """"Alias_Libelle_Fronton"""": """"Rethel"""", """"AgenceGC_Libelle"""": """"DRG Grand Est"""", """"RegionSNCF_Libelle"""": """"REGION CHAMPAGNE-ARDENNE"""", """"UG_Libelle"""": """"UG Champagne"""", """"UT_Libelle"""": """"RETHEL GARE""""}""",Rethel,Rethel,True,False,DRG Grand Est,REGION CHAMPAGNE-ARDENNE,UG Champagne,RETHEL GARE,1,RTL,"49.504393, 4.369566",horaires
1618,01697-1,1697,87474155,,Rosporden,29140.0,241.0,Rosporden,29.0,Finistère,-3.832763,47.960273,b,1.0,GARES B BRETAGNE,"""[{""""TVS_Code"""": """"RSP""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Rosporden"""", """"Alias_Libelle_Fronton"""": """"Rosporden"""", """"AgenceGC_Libelle"""": """"DRG B-CVL-PDL"""", """"RegionSNCF_Libelle"""": """"REGION BRETAGNE"""", """"UG_Libelle"""": """"UG Bretagne"""", """"UT_Libelle"""": """"ROSPORDEN GARE""""}""",Rosporden,Rosporden,True,False,DRG B-CVL-PDL,REGION BRETAGNE,UG Bretagne,ROSPORDEN GARE,1,RSP,"47.960273, -3.832763",horaires
1116,02392-1,2392,87286732,,Roubaix,59100.0,512.0,Roubaix,59.0,Nord,3.16348,50.69561,b,2.0,GARES B NORD PAS DE CALAIS,"""[{""""TVS_Code"""": """"RXB""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Roubaix"""", """"Alias_Libelle_Fronton"""": """"Roubaix"""", """"AgenceGC_Libelle"""": """"DRG HDF-Normandie"""", """"RegionSNCF_Libelle"""": """"REGION NORD PAS DE CALAIS"""", """"UG_Libelle"""": """"UG Nord Pas de Calais"""", """"UT_Libelle"""": """"ROUBAIX GARE""""}""",Roubaix,Roubaix,True,False,DRG HDF-Normandie,REGION NORD PAS DE CALAIS,UG Nord Pas de Calais,ROUBAIX GARE,1,RXB,"50.69561, 3.16348",horaires
2334,01882-1,1882,87411017,,Rouen Rive Droite,76000.0,540.0,Rouen,76.0,Seine-Maritime,1.094087,49.448764,a,3.0,GARE ROUEN RIVE DROITE,"""[{""""TVS_Code"""": """"RRD""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Rouen Rive Droite"""", """"Alias_Libelle_Fronton"""": """"Rouen Rive Droite"""", """"AgenceGC_Libelle"""": """"DRG HDF-Normandie"""", """"RegionSNCF_Libelle"""": """"REGION NORMANDIE"""", """"UG_Libelle"""": """"UG Normandie"""", """"UT_Libelle"""": """"ROUEN RIVE DROITE GARE""""}""",Rouen Rive Droite,Rouen Rive Droite,True,False,DRG HDF-Normandie,REGION NORMANDIE,UG Normandie,ROUEN RIVE DROITE GARE,1,RRD,"49.448764, 1.094087",wikipedia
358,01895-1,1895,87396408,,Sablé-sur-Sarthe,72300.0,264.0,Sablé-sur-Sarthe,72.0,Sarthe,-0.3419359,47.8415934,b,2.0,GARES B PAYS DE LA LOIRE,"""[{""""TVS_Code"""": """"SAB""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Sablé-sur-Sarthe"""", """"Alias_Libelle_Fronton"""": """"Sablé-sur-Sarthe"""", """"AgenceGC_Libelle"""": """"DRG B-CVL-PDL"""", """"RegionSNCF_Libelle"""": """"REGION PAYS DE LA LOIRE"""", """"UG_Libelle"""": """"UG Pays de la Loire"""", """"UT_Libelle"""": """"SABLE GARE""""}""",Sablé-sur-Sarthe,Sablé-sur-Sarthe,True,False,DRG B-CVL-PDL,REGION PAYS DE LA LOIRE,UG Pays de la Loire,SABLE GARE,1,SAB,"47.8415934, -0.3419359",horaires
2687,00405-1,405,87741306,,Saint-Avre - La Chambre,73130.0,67.0,Chambre,73.0,Savoie,6.3028277,45.3530978,c,1.0,GARES C ALPES,"""[{""""TVS_Code"""": """"SVB""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Saint-Avre - La Chambre"""", """"Alias_Libelle_Fronton"""": """"Saint-Avre - La Chambre"""", """"AgenceGC_Libelle"""": """"DRG AURA-BFC"""", """"RegionSNCF_Libelle"""": """"REGION ALPES"""", """"UG_Libelle"""": """"UG Alpes"""", """"UT_Libelle"""": """"SAINT AVRE LA CHAMBRE P GARE""""}""",Saint-Avre - La Chambre,Saint-Avre - La Chambre,True,False,DRG AURA-BFC,REGION ALPES,UG Alpes,SAINT AVRE LA CHAMBRE P GARE,1,SVB,"45.3530978, 6.3028277",wikipedia
